พื้นที่,เนื้อที่ปลูก,ผลผลิต
ผักกาดหอม,5,0
ผักบุ้งจีน,6,0
พริกขี้หนูเม็ดใหญ่,40,"168,000.00"
มะเขือเปราะ,1,"1,200.00"
พริกชี้ฟ้าแดง,37,0
ผักอื่นๆ,55,"90,650.00"
นาหว้า,"134,359.27","49,566,143.43"
ข้าว,"133,488.77","49,337,325.63"
ข้าวนาปี,"124,736.19","49,337,325.63"
ข้าวนาปรัง,"8,752.58",0
พืชไร่,624.25,"160,870.50"
ข้าวโพดเลี้ยงสัตว์,3,"2,028.00"
อ้อยโรงงาน,560,"60,000.00"
มันสำปะหลังโรงงาน,2,"5,820.00"
ข้าวโพดหวาน,59.25,"93,022.50"
พืชผัก,246.25,"67,947.30"
ข้าวโพดหวาน,91.5,0
แตงกวา,24,181
แตงโมเนื้อ,44,"24,000.00"
ถั่วฝักยาว,46,"17,415.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),18,"24,500.00"
มะเขือเทศบริโภคสด,21.75,"1,850.00"
แมงลัก,1,1.3
โพนสวรรค์,"179,880.28","72,144,882.70"
ข้าว,"167,749.03","59,525,233.50"
ข้าวนาปี,"166,562.03","59,525,233.50"
ข้าวนาปรัง,"1,187.00",0
พืชไร่,"10,723.00","11,437,954.20"
ข้าวโพดเลี้ยงสัตว์,47.25,0
ถั่วลิสง,209.75,0
มันแกว,2,0
มันเทศ,3.5,0
ยาสูบ,61,"16,470.00"
อ้อยโรงงาน,147.75,"118,200.00"
สับปะรด,"4,120.00","8,735,284.20"
มันสำปะหลังโรงงาน,"6,131.75","2,568,000.00"
พืชผัก,"1,408.25","1,181,695.00"
กระเทียมหัว,22,0
กะหล่ำดอก,10,0
กะหล่ำปลี,75.75,"93,000.00"
ข้าวโพดรับประทานฝักสด,67.25,0
ข้าวโพดหวาน,224.25,"429,395.00"
แตงกวา,22.75,"25,200.00"
แตงร้าน,18,"39,600.00"
แตงไทย,15.25,"16,000.00"
แตงโมเนื้อ,1.25,"1,500.00"
แตงโมเมล็ด,0,0
ถั่วฝักยาว,19.75,"26,400.00"
ผักบุ้งจีน,3,0
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),258,"380,000.00"
พริกขี้หนูเม็ดใหญ่,473,"166,800.00"
ฟักทอง,1,"2,200.00"
มะเขือเปราะ,1,"1,600.00"
หอมแดง,196,0
นาทม,"73,891.00","26,789,840.00"
ข้าว,"72,902.00","24,705,840.00"
ข้าวนาปี,"63,037.00","24,705,840.00"
ข้าวนาปรัง,"9,865.00",0
พืชไร่,519,0
มันสำปะหลังโรงงาน,519,0
พืชผัก,470,"2,084,000.00"
ข้าวโพดรับประทานฝักสด,20,"9,500.00"
แตงโมเนื้อ,414,"2,070,000.00"
ผักบุ้งน้ำ,36,"4,500.00"
วังยาง,"47,977.10","17,081,620.00"
ข้าว,"46,658.00","15,969,120.00"
ข้าวนาปี,"45,901.00","15,969,120.00"
ข้าวนาปรัง,757,0
พืชไร่,"1,094.10","401,000.00"
ถั่วลิสง,5,"1,000.00"
มันฝรั่ง,208,"400,000.00"
มันสำปะหลังโรงงาน,881.1,0
พืชผัก,225,"711,500.00"
ข้าวโพดหวาน,19,"156,200.00"
แตงร้าน,30,"21,500.00"
แตงโมเนื้อ,65,"390,000.00"
ผักกาดอื่นๆ,48,"62,800.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),36,"37,000.00"
พริกขี้หนูเม็ดใหญ่,27,"14,000.00"
พริกเพื่อผลิตเมล็ดพันธุ์,0,"30,000.00"
นครราชสีมา,"6,475,020.41","7,642,389,008.50"
เมืองนครราชสีมา,"137,647.00","29,986,070.00"
ข้าว,"87,739.00","15,455,000.00"
ข้าวนาปี,"84,797.00","15,455,000.00"
ข้าวนาปรัง,"2,942.00",0
พืชไร่,"37,072.00","7,690,000.00"
ข้าวโพดเลี้ยงสัตว์,"14,155.00","7,030,000.00"
อ้อยโรงงาน,66,"660,000.00"
มันสำปะหลังโรงงาน,"22,851.00",0
พืชผัก,"12,754.00","6,830,770.00"
กระเทียมหัว,46,0
กะเพรา,82,"246,310.00"
คะน้า,"2,838.00","1,434,500.00"
ตั้งโอ๋,130,"83,000.00"
แตงกวา,84,"205,490.00"
ผักกวางตุ้ง,"1,981.00","954,500.00"
ผักกาดหอม,948,"508,000.00"
ผักชี,579,"114,600.00"
ผักบุ้งจีน,"2,969.00","1,528,500.00"
พริกใหญ่,20,"7,510.00"
ฟักทอง,100,"198,800.00"
สะระแหน่,8,"12,160.00"
หอมแบ่ง(ต้นหอม),"2,730.00","1,210,900.00"
โหระพา,223,"294,360.00"
เห็ดนางฟ้า,16,"32,140.00"
ไม้ดอก,82,"10,300.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),7,0
บัวหลวง,6,"1,200.00"
ไม้ดอกเมืองร้อนอื่น ๆ,46,0
มะลิ (ไม้เด็ดดอก),23,"9,100.00"
ครบุรี,"414,672.00","1,129,581,000.00"
ข้าว,"96,152.00","48,031,000.00"
ข้าวนาปี,"96,062.00","48,031,000.00"
ข้าวนาปรัง,90,0
พืชไร่,"318,520.00","1,081,550,000.00"
อ้อยโรงงาน,"63,115.00","631,150,000.00"
มันสำปะหลังโรงงาน,"255,405.00","450,400,000.00"
เสิงสาง,"244,529.00","23,043,000.00"
ข้าว,"37,907.00","18,953,500.00"
ข้าวนาปี,"37,907.00","18,953,500.00"
ข้าวนาปรัง,0,0
พืชไร่,"204,293.00","1,225,500.00"
ข้าวโพดเลี้ยงสัตว์,411,"979,500.00"
มันเทศ,82,"246,000.00"
อ้อยโรงงาน,"11,300.00",0
มันสำปะหลังโรงงาน,"192,500.00",0
พืชผัก,"2,329.00","2,864,000.00"
ข่า,49,"196,000.00"
ข้าวโพดฝักอ่อน,780,"900,000.00"
ข้าวโพดรับประทานฝักสด,900,"1,650,000.00"
ข้าวโพดหวาน,0,0
แตงกวา,200,"50,000.00"
บวบ,100,"50,000.00"
พริกขี้หนูเม็ดใหญ่,180,"18,000.00"
มะเขืออื่นๆ,120,0
คง,"265,708.48","8,799,230.50"
ข้าว,"246,690.48","8,438,230.50"
ข้าวนาปี,"246,690.48","8,438,230.50"
พืชไร่,"18,906.00",0
ถั่วเขียวผิวมัน,30,0
อ้อยโรงงาน,"11,614.00",0
มันสำปะหลังโรงงาน,"7,262.00",0
พืชผัก,112,"361,000.00"
กะเพรา,0,0
ข้าวโพดรับประทานฝักสด,10,0
คะน้า,7,"70,000.00"
แตงกวา,0,0
ถั่วฝักยาว,1,0
ผักกวางตุ้ง,19,"185,000.00"
ผักกาดเขียวปลี,20,"100,000.00"
ผักชี,0.5,"5,000.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),12,0
พริกขี้หนูเม็ดใหญ่,2,0
ฟัก / แฟง,1,0
ฟักทอง,11,0
มะเขือเปราะ,1,0
มะเขือยาว,0.5,0
หน่อไม้น้ำ,3,0
หอมแบ่ง(ต้นหอม),4,0
เมล่อนญี่ปุ่น,18,0
ผักชีลาว,1,"1,000.00"
มะเขือเทศเพื่อผลิตเมล็ดพันธุ์,1,0
บ้านเหลื่อม,"124,075.00","227,930,174.00"
ข้าว,"50,409.00","2,895,174.00"
ข้าวนาปี,"50,409.00","2,895,174.00"
พืชไร่,"73,666.00","225,035,000.00"
ข้าวโพดเลี้ยงสัตว์,937,0
อ้อยโรงงาน,"37,968.00","182,168,000.00"
มันสำปะหลังโรงงาน,"34,742.00","42,867,000.00"
ข้าวโพดเลี้ยงสัตว์ (เมล็ดพันธุ์),19,0
จักราช,"226,848.75","91,783,355.00"
ข้าว,"106,129.00","36,496,005.00"
ข้าวนาปี,"106,129.00","36,496,005.00"
พืชไร่,"119,360.00","53,901,750.00"
ข้าวโพดเลี้ยงสัตว์,"1,372.00","303,250.00"
ถั่วเขียวผิวมัน,5,0
อ้อยโรงงาน,"57,770.00","33,820,000.00"
ปอเทือง,10,0
มันสำปะหลังโรงงาน,"60,203.00","19,778,500.00"
พืชผัก,"1,359.75","1,385,600.00"
ข้าวโพดหวาน,43.75,"25,400.00"
แคนตาลูป,50,0
แตงโมเนื้อ,70,0
บวบ,18,"17,100.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),680,"1,076,000.00"
พริกขี้หนูเม็ดใหญ่,323,0
ฟัก / แฟง,95,"237,100.00"
ฟักทอง,30,0
มะเขือยาว,25,0
มะเขืออื่นๆ,2,0
มะระจีน,23,"30,000.00"
โชคชัย,"110,733.00","52,752,289.00"
ข้าว,"103,384.00","52,552,511.00"
ข้าวนาปี,"103,384.00","52,552,511.00"
พืชไร่,"6,304.00","67,935.00"
ถั่วเขียวผิวมัน,389,0
อ้อยโรงงาน,"5,892.00",0
มันสำปะหลังโรงงาน,23,"67,935.00"
พืชผัก,"1,045.00","131,843.00"
ข้าวโพดหวาน,173,"68,775.00"
ตะไคร้,64,"25,386.00"
แตงกวา,46,"15,780.00"
แตงร้าน,7,0
ถั่วฝักยาว,656,"17,999.00"
ผักบุ้งจีน,2,953
ผักหวาน,39,"2,950.00"
มะเขือเปราะ,23,0
มะระจีน,16,0
หน่อไม้ฝรั่ง,19,0
ด่านขุนทด,"581,807.00","1,027,136,300.00"
ข้าว,"207,394.00","25,490,200.00"
ข้าวนาปี,"207,394.00","25,490,200.00"
พืชไร่,"374,066.00","1,001,646,100.00"
ข้าวโพดเลี้ยงสัตว์,"132,561.00",0
อ้อยโรงงาน,"75,861.00","495,517,600.00"
มันสำปะหลังโรงงาน,"165,644.00","506,128,500.00"
พืชผัก,347,0
ผักหวาน,30,0
พริกขี้หนูเม็ดใหญ่,317,0
โนนไทย,"223,026.00","12,469,880.00"
ข้าว,"164,350.00","3,987,430.00"
ข้าวนาปี,"164,350.00","3,987,430.00"
พืชไร่,"58,646.00","8,482,350.00"
ข้าวโพดเลี้ยงสัตว์,"33,994.00","8,481,600.00"
ถั่วเขียวผิวดำ,5,750
อ้อยโรงงาน,"5,801.00",0
มันสำปะหลังโรงงาน,"18,846.00",0
พืชผัก,30,100
กระเทียมหัว,2,100
แตงกวา,5,0
ผักบุ้งอื่นๆ,2,0
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),15,0
ฟัก / แฟง,6,0
โนนสูง,"295,686.75","10,015,061.00"
ข้าว,"289,170.00","10,015,061.00"
ข้าวนาปี,"288,955.00","10,015,061.00"
ข้าวนาปรัง,215,0
พืชไร่,"6,061.75",0
อ้อยโรงงาน,"4,627.00",0
มันสำปะหลังโรงงาน,"1,434.75",0
พืชผัก,436,0
คะน้า,1,0
แตงกวา,15,0
ผักกวางตุ้ง,108,0
ผักบุ้งจีน,1,0
พริกขี้หนูเม็ดใหญ่,300,0
ฟักทอง,10,0
หอมแบ่ง(ต้นหอม),1,0
ไม้ดอก,10,0
มะลิ (ไม้เด็ดดอก),10,0
สมุนไพรและเครื่องเทศ (รต.01),9,0
เพชรสังฆาต,9,0
ขามสะแกแสง,"129,215.76","39,513,177.55"
ข้าว,"83,280.00","1,671,249.55"
ข้าวนาปี,"83,280.00","1,671,249.55"
พืชไร่,"44,670.26","37,359,178.00"
ข้าวโพดเลี้ยงสัตว์,"15,152.01","1,916,718.00"
ถั่วเขียวผิวมัน,528,"36,960.00"
ถั่วลิสง,4,"1,000.00"
ทานตะวัน,15,"4,500.00"
อ้อยโรงงาน,"8,223.25","1,824,000.00"
ปอเทือง,58,0
มันสำปะหลังโรงงาน,"20,690.00","33,576,000.00"
พืชผัก,"1,265.50","482,750.00"
กระเทียมหัว,10.5,"5,250.00"
ข้าวโพดหวาน,97,"64,400.00"
แตงไทย,10,0
พริกขี้หนูเม็ดใหญ่,"1,139.00","408,000.00"
หอมแดง,9,"5,100.00"
บัวใหญ่,"266,117.00","132,166,765.00"
ข้าว,"232,990.00","37,242,965.00"
ข้าวนาปี,"232,990.00","37,242,965.00"
พืชไร่,"33,127.00","94,923,800.00"
อ้อยโรงงาน,"22,908.00","87,741,000.00"
มันสำปะหลังโรงงาน,"10,219.00","7,182,800.00"
ประทาย,"252,841.38","84,102,698.00"
ข้าว,"252,573.88","83,968,698.00"
ข้าวนาปี,"252,490.88","83,968,698.00"
ข้าวนาปรัง,83,0
พืชไร่,208,0
อ้อยโรงงาน,208,0
พืชผัก,59.5,"134,000.00"
ข้าวโพดรับประทานฝักสด,5,"12,000.00"
แคนตาลูป,25,"50,000.00"
แตงกวา,5,"25,000.00"
ผักคึ่นฉ่าย,10,"10,000.00"
ผักบุ้งอื่นๆ,7,"8,500.00"
พริกขี้หนูเม็ดใหญ่,7,"28,000.00"
หน่อไม้ฝรั่ง,0.5,500
ปักธงชัย,"160,263.00","195,968,830.00"
ข้าว,"114,132.00","45,469,330.00"
ข้าวนาปี,"114,132.00","45,469,330.00"
พืชไร่,"45,651.00","150,216,500.00"
อ้อยโรงงาน,"21,311.00","100,020,000.00"
มันสำปะหลังโรงงาน,"24,340.00","50,196,500.00"
พืชผัก,480,"283,000.00"
ผักชี,180,"76,350.00"
ผักบุ้งจีน,175,"127,600.00"
หอมแบ่ง(ต้นหอม),125,"79,050.00"
พิมาย,"397,924.65","1,124,546,525.00"
ข้าว,"277,830.00","125,131,350.00"
ข้าวนาปี,"277,111.00","124,699,950.00"
ข้าวนาปรัง,719,"431,400.00"
พืชไร่,"117,352.65","999,280,300.00"
ข้าวโพดเลี้ยงสัตว์,89,"62,300.00"
อ้อยโรงงาน,"34,928.65","696,053,000.00"
ปอเทือง,"7,365.00","3,285,000.00"
มันสำปะหลังโรงงาน,"74,970.00","299,880,000.00"
พืชผัก,"2,742.00","134,875.00"
แตงโมเนื้อ,"1,765.00","134,875.00"
ผักอื่นๆ,977,0
ห้วยแถลง,"209,177.00","264,082,520.00"
ข้าว,"164,955.00","58,337,600.00"
ข้าวนาปี,"164,955.00","58,337,600.00"
พืชไร่,"43,832.00","205,592,800.00"
งาดำ,1,0
อ้อยโรงงาน,"25,329.00","176,591,000.00"
ปอเทือง,30,0
มันสำปะหลังโรงงาน,"18,472.00","29,001,800.00"
พืชผัก,389,"152,120.00"
กะหล่ำดอก,1,0
ข้าวโพดหวาน,39,0
คะน้า,18,0
แคนตาลูป,46,0
แตงกวา,102,"105,000.00"
แตงโมเนื้อ,10,0
ถั่วฝักยาว,102,"31,120.00"
บวบ,11,0
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),2,0
พริกขี้หนูเม็ดใหญ่,41,0
หอมแบ่ง(ต้นหอม),10,"16,000.00"
เมล่อนญี่ปุ่น,1,0
บวบงู,6,0
สมุนไพรและเครื่องเทศ (รต.01),1,0
กระชายดำ,0.5,0
ขมิ้นชัน,0.5,0
ชุมพวง,"270,449.00","810,136,627.75"
ข้าว,"219,064.00","638,131,425.75"
ข้าวนาปี,"218,994.00","638,122,725.75"
ข้าวนาปรัง,70,"8,700.00"
พืชไร่,"50,801.00","171,607,365.00"
อ้อยโรงงาน,"10,281.00","69,400,465.00"
มันสำปะหลังโรงงาน,"40,520.00","102,206,900.00"
พืชผัก,504,"197,837.00"
ข้าวโพดรับประทานฝักสด,20,800
ข้าวโพดหวาน,15,12
ผักกวางตุ้ง,135,"20,000.00"
ผักบุ้งอื่นๆ,65,"20,000.00"
พริกขี้หนูเม็ดใหญ่,120,"125,600.00"
หอมแดง,25,600
ผักอื่นๆ,124,"30,825.00"
ไม้ประดับ,80,"200,000.00"
ปาล์ม/หมากต่าง ๆ,80,"200,000.00"
สูงเนิน,"228,352.75","185,341,800.00"
ข้าว,"73,605.00","19,434,550.00"
ข้าวนาปี,"73,593.00","19,434,550.00"
ข้าวนาปรัง,12,0
พืชไร่,"154,402.50","165,782,950.00"
ข้าวโพดเลี้ยงสัตว์,"94,352.00","32,034,600.00"
อ้อยโรงงาน,"7,379.50","65,517,500.00"
ปอเทือง,30,"2,600.00"
มันสำปะหลังโรงงาน,"52,641.00","68,228,250.00"
พืชผัก,340.25,"121,800.00"
กะเพรา,50,"6,500.00"
แตงกวา,3,300
แตงโมเนื้อ,214,"107,000.00"
บวบ,50,"1,500.00"
หอมแบ่ง(ต้นหอม),20,"5,800.00"
ผักอื่นๆ,3.25,700
ไม้ดอก,5,"2,500.00"
เบญจมาศ,2,"1,000.00"
ดาวเรือง,3,"1,500.00"
ขามทะเลสอ,"105,554.00","77,877,955.00"
ข้าว,"37,428.00","5,916,450.00"
ข้าวนาปี,"37,278.00","5,916,450.00"
ข้าวนาปรัง,150,0
พืชไร่,"65,247.00","65,143,005.00"
ข้าวโพดเลี้ยงสัตว์,"10,458.00","1,512,805.00"
ถั่วลิสง,7,0
มันเทศ,20,"40,000.00"
มันสำปะหลังโรงงาน,"54,592.00","63,525,000.00"
ข้าวโพดเลี้ยงสัตว์ (เมล็ดพันธุ์),170,"65,200.00"
พืชผัก,"2,835.00","6,791,000.00"
แตงโมเนื้อ,"1,125.00","3,596,000.00"
หอมแบ่ง(ต้นหอม),"1,710.00","3,195,000.00"
ไม้ดอก,44,"27,500.00"
ดาวเรือง,44,"27,500.00"
สีคิ้ว,"387,229.00","606,150,495.50"
ข้าว,"97,222.00","27,897,134.50"
ข้าวนาปี,"93,808.00","27,897,134.50"
ข้าวนาปรัง,"3,414.00",0
พืชไร่,"289,511.00","577,893,211.00"
ข้าวโพดเลี้ยงสัตว์,"96,753.00","56,153,836.00"
ถั่วเขียวผิวมัน,155,0
อ้อยโรงงาน,"58,370.00","330,909,250.00"
มันสำปะหลังโรงงาน,"134,233.00","190,830,125.00"
พืชผัก,491,"360,150.00"
กระเทียมหัว,35,"12,250.00"
กะหล่ำดอก,8,0
คะน้า,22,"24,000.00"
ตะไคร้,2,600
แตงโมเนื้อ,100,"50,000.00"
ถั่วฝักยาว,2,0
ผักกวางตุ้ง,2,"2,200.00"
ผักกาดขาวปลี,21,"9,900.00"
ผักกาดเขียวปลี,20,"19,000.00"
ผักกาดหอม,1,0
ผักคึ่นฉ่าย,20,"20,000.00"
ผักชี,229,"200,800.00"
ผักบุ้งจีน,1,"1,000.00"
พริกขี้หนูเม็ดใหญ่,1,0
พริกหยวก,6,"3,000.00"
ฟักทอง,4,"2,400.00"
หอมแบ่ง(ต้นหอม),15,"15,000.00"
เมล่อนญี่ปุ่น,2,0
สมุนไพรและเครื่องเทศ (รต.01),5,0
ขมิ้นชัน,5,0
ปากช่อง,"203,111.64","80,069,500.00"
ข้าว,138,0
ข้าวนาปี,138,0
พืชไร่,"201,998.64","80,065,000.00"
ข้าวโพดเลี้ยงสัตว์,"50,612.00","47,605,000.00"
อ้อยโรงงาน,"63,615.00","24,000,000.00"
มันสำปะหลังโรงงาน,"87,771.64","8,460,000.00"
พืชผัก,560,"2,000.00"
กุยช่าย,540,0
หน่อไม้ฝรั่ง,20,"2,000.00"
ไม้ดอก,415,"2,500.00"
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),410,0
ดาวเรือง,5,"2,500.00"
หนองบุญมาก,"244,296.00","562,613,800.00"
ข้าว,"65,776.00","5,557,800.00"
ข้าวนาปี,"65,776.00","5,557,800.00"
พืชไร่,"178,481.00","557,056,000.00"
อ้อยโรงงาน,"23,880.00","229,800,000.00"
มันสำปะหลังโรงงาน,"154,601.00","327,256,000.00"
ไม้ประดับ,39,0
เฟื่องฟ้า,17,0
ลีลาวดี (ไม้ประดับกระถาง),22,0
แก้งสนามนาง,"132,734.00","238,969,800.00"
ข้าว,"71,918.00","27,673,600.00"
ข้าวนาปี,"71,918.00","27,673,600.00"
พืชไร่,"60,816.00","211,296,200.00"
อ้อยโรงงาน,"49,956.00","211,296,000.00"
มันสำปะหลังโรงงาน,"10,775.00",0
ข้าวโพดเลี้ยงสัตว์ (เมล็ดพันธุ์),85,200
โนนแดง,"70,095.75","23,962,955.00"
ข้าว,"68,843.00","20,818,395.00"
ข้าวนาปี,"68,843.00","20,818,395.00"
พืชไร่,"1,187.00","3,134,500.00"
อ้อยโรงงาน,155,"535,000.00"
มันสำปะหลังโรงงาน,"1,032.00","2,599,500.00"
พืชผัก,65.75,"10,060.00"
คะน้า,1,"1,000.00"
แตงกวา,7,"6,950.00"
แตงโมเนื้อ,30,0
ถั่วฝักยาว,7,510
พริกขี้หนูเม็ดใหญ่,4,150
มะเขือเปราะ,1.75,150
เห็ดนางฟ้า,4,"1,300.00"
เมล่อนญี่ปุ่น,11,0
วังน้ำเขียว,"79,550.00","232,320,200.00"
ข้าว,"12,273.00","4,941,200.00"
ข้าวนาปี,"12,273.00","4,941,200.00"
พืชไร่,"67,105.00","227,379,000.00"
ข้าวโพดเลี้ยงสัตว์,"47,355.00","37,884,000.00"
อ้อยโรงงาน,"6,690.00","181,900,000.00"
มันสำปะหลังโรงงาน,"13,060.00","7,595,000.00"
พืชผัก,134,0
ข้าวโพดหวาน,36,0
ผักบุ้งจีน,5,0
พริกขี้หนูเม็ดใหญ่,19,0
มะเขือเทศบริโภคสด,64,0
มะเขือพวง,5,0
สตรอเบอรี่-01,5,0
ไม้ดอก,18,0
กุหลาบตัดดอก,10,0
เบญจมาศ,8,0
สมุนไพรและเครื่องเทศ (รต.01),20,0
ขมิ้นชัน,10,0
ไพล,10,0
เทพารักษ์,"156,473.00","192,095,720.00"
ข้าว,"25,488.00","5,548,200.00"
ข้าวนาปี,"25,488.00","5,548,200.00"
พืชไร่,"127,630.00","184,120,020.00"
ถั่วเขียวผิวดำ,50,0
ถั่วเขียวผิวมัน,75,0
ยาสูบ,20,"20,000.00"
อ้อยโรงงาน,"34,812.00","82,000,000.00"
ปอเทือง,5,500
มันสำปะหลังโรงงาน,"46,609.00","71,092,000.00"
ข้าวโพดเลี้ยงสัตว์ (เมล็ดพันธุ์),"46,059.00","31,007,520.00"
พืชผัก,"3,355.00","2,427,500.00"
กระเทียมหัว,105,"105,000.00"
ข้าวโพดหวาน,110,"173,000.00"
ผักกวางตุ้ง,0,"1,000.00"
ผักกาดอื่นๆ,0,"2,000.00"
ผักชี,"1,660.00","996,000.00"
พริกใหญ่,"1,230.00","824,000.00"
ฟักทอง,0,"24,000.00"
หอมแดง,115,"115,000.00"
หอมแบ่ง(ต้นหอม),135,"187,500.00"
เมืองยาง,"116,547.00","35,034,190.00"
ข้าว,"116,045.00","35,032,550.00"
ข้าวนาปี,"115,597.00","35,032,550.00"
ข้าวนาปรัง,448,0
พืชไร่,391,240
อ้อยโรงงาน,240,240
มันสำปะหลังโรงงาน,151,0
พืชผัก,111,"1,400.00"
ข้าวโพดรับประทานฝักสด,21,0
คะน้า,5,500
แตงกวา,6,0
ผักกวางตุ้ง,3,300
ผักบุ้งจีน,0,300
พริกขี้หนูเม็ดใหญ่,25,0
หอมแบ่ง(ต้นหอม),5,0
ผักชีลาว,3,300
พริกชี้ฟ้าแดง,43,0
พระทองคำ,"132,720.00","27,353,170.00"
ข้าว,"85,260.00","556,250.00"
ข้าวนาปี,"85,260.00","556,250.00"
พืชไร่,"44,958.00","26,608,700.00"
ข้าวโพดเลี้ยงสัตว์,"27,090.00",0
อ้อยโรงงาน,851,"3,273,400.00"
มันสำปะหลังโรงงาน,"17,017.00","23,335,300.00"
พืชผัก,"2,502.00","188,220.00"
ข่า,5,0
ตะไคร้,5,0
แตงโมเนื้อ,"2,342.00","170,000.00"
บวบ,2,820
พริกขี้หนูเม็ดใหญ่,91,"8,800.00"
ฟัก / แฟง,8,"6,600.00"
ฟักทอง,49,"2,000.00"
ลำทะเมนชัย,"117,192.75","21,201,700.00"
ข้าว,"77,604.00","21,201,700.00"
ข้าวนาปี,"77,520.00","21,201,700.00"
ข้าวนาปรัง,84,0
พืชไร่,"39,433.75",0
อ้อยโรงงาน,"5,937.00",0
ปอเทือง,0,0
มันสำปะหลังโรงงาน,"33,496.75",0
พืชผัก,155,0
ข้าวโพดรับประทานฝักสด,40,0
แตงโมเนื้อ,115,0
บัวลาย,"60,347.00","26,017,050.00"
ข้าว,"57,921.00","22,570,800.00"
ข้าวนาปี,"57,921.00","22,570,800.00"
พืชไร่,"2,426.00","3,446,250.00"
อ้อยโรงงาน,"1,277.25",0
มันสำปะหลังโรงงาน,"1,148.75","3,446,250.00"
พืชผัก,0,0
เห็ดนางฟ้า,0,0
สีดา,"69,195.00","24,052,000.00"
ข้าว,"69,181.00","24,052,000.00"
ข้าวนาปี,"69,181.00","24,052,000.00"
พืชไร่,14,0
มันสำปะหลังโรงงาน,14,0
เฉลิมพระเกียรติ,"60,901.75","45,315,170.20"
ข้าว,"37,992.00","12,057,056.20"
ข้าวนาปี,"37,742.00","12,057,056.20"
ข้าวนาปรัง,250,0
พืชไร่,"22,005.75","32,344,400.00"
ข้าวโพดเลี้ยงสัตว์,"2,808.75","1,149,400.00"
ข้าวฟ่างเลี้ยงสัตว์,"3,052.00","6,104,000.00"
ถั่วเขียวผิวมัน,125,0
ถั่วลิสง,20,0
อ้อยโรงงาน,"2,756.00","25,091,000.00"
มันสำปะหลังโรงงาน,"13,244.00",0
พืชผัก,904,"913,714.00"
ข้าวโพดฝักอ่อน,50,0
แตงกวา,50,0
ถั่วฝักยาว,152,"31,400.00"
บวบ,82,"15,906.00"
พริกขี้หนูเม็ดใหญ่,40,"14,408.00"
หอมแดง,30,"12,000.00"
หอมแบ่ง(ต้นหอม),500,"840,000.00"
นครศรีธรรมราช,"197,529.79","67,439,548.01"
เมืองนครศรีธรรมราช,"5,509.51","419,835.00"
ข้าว,"4,307.31",0
ข้าวนาปี,"4,307.31",0
พืชไร่,364,"95,300.00"
มันเทศ,8,"8,000.00"
อ้อยเคี้ยว,38,0
หญ้าเลี้ยงสัตว์,11,500
ปอเทือง,66,"16,900.00"
พืชไร่อื่นๆ,241,"69,900.00"
พืชผัก,838.2,"324,535.00"
กระเจี๊ยบเขียว,1,250
กะเพรา,2,200
ข่า,68.8,"31,180.00"
คะน้า,3,"1,000.00"
ชะอม,2,100
ตะไคร้,25.3,"13,000.00"
แตงกวา,148.9,"45,700.00"
แตงร้าน,1,100
ถั่วฝักยาว,84.2,"20,500.00"
ถั่วพู,45,"6,300.00"
บวบ,74,"24,170.00"
ผักบุ้งน้ำ,1,100
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),214,"141,975.00"
ฟัก / แฟง,16,"4,610.00"
มะเขือเปราะ,128,"29,950.00"
มะเขือพวง,2,520
มะเขือม่วง,1,200
มะเขือยาว,10,"2,250.00"
มะเขืออื่นๆ,9,"2,230.00"
โหระพา,2,200
พรหมคีรี,406.03,"145,775.00"
พืชผัก,406.03,"145,775.00"
ตะไคร้,10,"1,000.00"
แตงกวา,80,"25,405.00"
แตงโมเนื้อ,80,"48,000.00"
ถั่วฝักยาว,130.03,"35,450.00"
ผักบุ้งน้ำ,12,"1,920.00"
มะเขือเปราะ,94,"34,000.00"
ลานสกา,"3,712.50","555,890.00"
พืชไร่,32,"12,800.00"
สับปะรด,32,"12,800.00"
พืชผัก,"3,680.50","543,090.00"
ขมิ้น,81,"32,250.00"
คะน้า,321.5,"112,020.00"
ชะอม,841,"129,155.00"
แตงกวา,452,"107,235.00"
ผักบุ้งจีน,467,"74,200.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),183,"67,310.00"
ผักกูด,"1,335.00","20,920.00"
ฉวาง,"1,577.28","1,197,074.00"
ข้าว,659.28,"265,124.00"
ข้าวนาปี,659.28,"265,124.00"
พืชไร่,292,"267,750.00"
มันแกว,2,"4,000.00"
ลูกเดือย,1,0
สับปะรด,25,"12,750.00"
พืชไร่อื่นๆ,264,"251,000.00"
พืชผัก,626,"664,200.00"
ข้าวโพดรับประทานฝักสด,205,"380,000.00"
ผักอื่นๆ,421,"284,200.00"
พิปูน,612,"641,038.00"
ข้าว,284,"150,145.00"
ข้าวนาปี,284,"150,145.00"
พืชไร่,20,"78,070.00"
